69769625,23981645
69774155,23984252
69776986,23985773
69780384,23986424
69785763,23986424
69789726,23986424
69792274,23986642
69795671,23986424
69799918,23986859
69804165,23987076
69808978,23987510
69811526,23987945
69818886,23985773
69824832,23988162
69828512,23988379
69833325,23988814
69839837,23988814
69842101,23989031
69844083,23989031
69849462,23989248
69853992,23989248
69857956,23987728
69862202,23987076
69866732,23985555
69870695,23983166
69873810,23980125
69878622,23976866
69881737,23974260
69883435,23971653
69885134,23967743
69885700,23965353
69885700,23963616
69885700,23959923
69884851,23956013
69885983,23954058
69886550,23951885
69886550,23949496
69886833,23947758
69886833,23945586
69886833,23943414
69886266,23940155
69885983,23936680
69886266,23931683
69886550,23927556
69886550,23925384
69886550,23921691
69886550,23917781
69884568,23913654
69882303,23910395
69880038,23907788
69876924,23905399
69874659,23904313
69869846,23903661
69864750,23903227
69859371,23902575
69853992,23902141
69847480,23901706
69839553,23901272
69830494,23901272
69822567,23901489
69814357,23901489
69799069,23901272
69790292,23901054
69778119,23904747
69776420,23908657
69773306,23913436
69773023,23917129
69771607,23920388
69770475,23924732
69769625,23928425
69769625,23930597
69768210,23935376
69767644,23938635
69768210,23943631
69768210,23948410
69767927,23954492
69767927,23958185
69768210,23963616
69768210,23967308
69769342,23971653
69769059,23974477
69769059,23978387
69774721,23981428
69778968,23981645
69784630,23982297
69790009,23982514
69797370,23984252
69802749,23984687
69810676,23983818
69824549,23983818
69827946,23983600
69838421,23984469
69850312,23984687
69857106,23984035
69861353,23983600
69867581,23979908
69870412,23977735
69874093,23974260
69877207,23969915
69876924,23965353
69877490,23960140
69877773,23956882
69878056,23953406
69878056,23948193
69877207,23945369
69877207,23940807
69877207,23935811
69877207,23932118
69876924,23926035
69875508,23920605
69873243,23915826
69868997,23911264
69863618,23909526
69853426,23908006
69845216,23907788
69833608,23908006
69824549,23907137
69811526,23905833
69805014,23905616
69793407,23907354
69789160,23910395
69782365,23912567
69782365,23917346
69780667,23924080
69779817,23929511
69780100,23937114
69780384,23947324
69780384,23956664
69780384,23962529
69779817,23970350
69779251,23977518
69789443,23981211
69801334,23982949
69817754,23983166
69829928,23984035
69837005,23984469
69844932,23984469
